species;substances;substancess_reference;family;family_reference
Santessonia namibensis;connorstictic acid, norstictic acid;lias;Caliciaceae;gbif
Santessonia sorediata;psoromic acid;lias;Caliciaceae;gbif
Sarcographa cinchonarum;protocetraric acid;lias;Graphidaceae;gbif
Sarcographa difformis;constictic acid, cryptostictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Sarcographa fenicis;constictic acid, cryptostictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Sarcographa heteroclita;constictic acid, cryptostictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Sarcographa hydrina;stictic acid;lias;Graphidaceae;gbif
Sarcographa labyrinthica;constictic acid, cryptostictic acid, hypostictic acid, stictic acid;lias;Graphidaceae;gbif
Sarcographa mitis;stictic acid;lias;Graphidaceae;gbif
Sarcographa oculata;stictic acid;lias;Graphidaceae;gbif
Sarcographa ramificans;stictic acid;lias;Graphidaceae;gbif
Sarcographa verrucosa;stictic acid;lias;Graphidaceae;gbif
Sarcographina cyclospora;2'-o-demethylpsoromic acid, conpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Sarcogyne dakotensis;connorstictic acid, hyposalazinic acid, norstictic acid;lias;Acarosporaceae;gbif
Sarcogyne desolata;norstictic acid;lias;Acarosporaceae;gbif
Sarcogyne poeltii;psoromic acid;italic;Acarosporaceae;gbif
Sarcogyne sekikaica;sekikaic acid;lias;Acarosporaceae;gbif
Sarrameana albidoplumbea;atranorin;lias;Sarrameanaceae;gbif
Savoronala madagascariensis;unknown/unidentified compound(s), usnic acid, zeorin (hopane-6α,22-diol);lias;Malmideaceae;gbif
Schaereria brunnea;lichesterinic acid, protolichesterinic acid, unknown/unidentified fatty acid(s);lias;Schaereriaceae;gbif
Schaereria bullata;unknown/unidentified compound(s);lias;Schaereriaceae;gbif
Schaereria cinereorufa;gyrophoric acid;lias;Schaereriaceae;gbif
Schaereria corticola;gyrophoric acid, lecanoric acid;italic;Schaereriaceae;gbif
Schaereria dolodes;atranorin, unknown/unidentified compound(s);lias;Schaereriaceae;gbif
Schaereria fuscocinerea;gyrophoric acid;italic;Schaereriaceae;gbif
Schaereria fuscocinerea;gyrophoric acid, lecanoric acid;lias;Schaereriaceae;gbif
Schaereria porpidioides;unknown/unidentified fatty acid(s);lias;Schaereriaceae;gbif
Schismatomma ceylanicum;psoromic acid;lias;Roccellaceae;gbif
Schismatomma cretaceum;unknown/unidentified compound(s), unknown/unidentified fatty acid(s);lias;Arthoniaceae;gbif
Schismatomma decolorans;unknown/unidentified fatty acid(s);lias;Roccellaceae;gbif
Schismatomma dilatata;atranorin, conechinocarpic acid, echinocarpic acid, gyrophoric acid, lecanoric acid, usnic acid;lias;Roccellaceae;gbif
Schismatomma graphidioides;roccellic acid;lias;Roccellaceae;gbif
Schismatomma multiferum;atranorin, conechinocarpic acid, diffractaic acid, echinocarpic acid, usnic acid;lias;Roccellaceae;gbif
Schismatomma niveum;2'-o-demethylpsoromic acid, psoromic acid, unknown/unidentified xanthone(s);lias;Arthoniaceae;gbif
Schismatomma pinguis;atranorin, caperatic acid, norcaperatic acid, unknown/unidentified fatty acid(s), usnic acid;lias;Roccellaceae;gbif
Schismatomma pluriloculare;lecanoric acid;lias;Roccellaceae;gbif
Schismatomma quercicola;fumarprotocetraric acid, protocetraric acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Schismatomma rediunta;roccellic acid;lias;Roccellaceae;gbif
Schismatomma spieri;erythrin, gyrophoric acid;lias;Roccellaceae;gbif
Schismatomma umbrinum;schizopeltic acid;italic;Roccellaceae;gbif
Schistophoron indicum;norstictic acid, stictic acid, unknown/unidentified pigment(s);lias;Graphidaceae;gbif
Schistoplaca alvearialis;atranorin, chloroatranorin, zeorin (hopane-6α,22-diol);lias;Lecanoraceae;gbif
Schizodiscus afroalpinus;2'-o-methylperlatolic acid;lias;Lecideaceae;gbif
Schizopelte californica;3-o-methylpannaric acid, erythrin, isoschizopeltic acid, lecanoric acid, pannaric acid, pannaric acid 2-methyl ester, pannaric acid 6-methyl ester, schizopeltic acid;lias;Opegraphaceae;gbif
Schizotrema guadeloupense;constictic acid, stictic acid, unknown/unidentified compound(s), α-acetylhypoconstictic acid;lias;Graphidaceae;gbif
Schizotrema quercicola;fumarprotocetraric acid, protocetraric acid;italic;Graphidaceae;gbif
Schizotrema schizolomum;salazinic acid;lias;Graphidaceae;gbif
Schizotrema zebrinum;conprotocetraric acid, constictic acid, fumarprotocetraric acid, hypoconstictic acid, hypostictic acid, protocetraric acid, stictic acid, virensic acid;lias;Graphidaceae;gbif
Sclerophora sanguinea;unknown/unidentified pigment(s);lias;Coniocybaceae;gbif
Sclerophyton elegans;psoromic acid;lias;Opegraphaceae;gbif
Sclerophyton indicum;psoromic acid;lias;Opegraphaceae;gbif
Sclerophyton inscriptum;siphulellic acid;lias;Opegraphaceae;gbif
Sclerophyton rostratum;2'-o-demethylpsoromic acid, psoromic acid;lias;Roccellographaceae;gbif
Scoliciosporum arachnoideum;atranorin, unknown/unidentified compound(s);lias;Scoliciosporaceae;gbif
Scoliciosporum coniectum;atranorin, gyrophoric acid;lias;Scoliciosporaceae;gbif
Scoliciosporum pensylvanicum;lobaric acid, unknown/unidentified compound(s);lias;Scoliciosporaceae;gbif
Scoliciosporum pruinosum;lobaric acid;italic;Scoliciosporaceae;gbif
Scoliciosporum pruinosum;lobaric acid;lias;Scoliciosporaceae;gbif
Scoliciosporum sarothamni;gyrophoric acid;italic;Scoliciosporaceae;gbif
Scoliciosporum sarothamni;gyrophoric acid;lias;Scoliciosporaceae;gbif
Sculptolumina japonica;7-chloroemodin, flavo-obscurin a, flavo-obscurin b1, flavo-obscurin b2, flavo-obscurin x, skyrin (rhodophyscin);lias;Caliciaceae;gbif
Seirophora contortuplicata;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Seirophora orientalis;emodin, erythroglaucin, fallacinal, parietin, parietinic acid, teloschistin;lias;Teloschistaceae;gbif
Seirophora villosa;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Septotrapelia glauca;unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), usnic acid;lias;Byssolomataceae;gbif
Sigridea californica;psoromic acid, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Siphula ceratites;siphulin;lias;Icmadophilaceae;gbif
Siphula flavovirens;caloploicin, usnic acid;lias;Icmadophilaceae;gbif
Siphula obtusata;atranorin, fumarprotocetraric acid, protocetraric acid, succinprotocetraric acid, usnic acid;lias;Icmadophilaceae;gbif
Siphulastrum granulatum;argopsin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Pannariaceae;gbif
Siphulastrum mamillatum;argopsin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Pannariaceae;gbif
Siphulastrum squamosum;argopsin, norargopsin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Pannariaceae;gbif
Siphulella coralloidea;siphulellic acid, unknown/unidentified pigment(s);lias;Icmadophilaceae;gbif
Solenopsora candicans;pannarin, zeorin (hopane-6α,22-diol);lias;Catillariaceae;gbif
Solenopsora chihuahuana;pannarin, unknown/unidentified compound(s), zeorin (hopane-6α,22-diol);lias;Catillariaceae;gbif
Solenopsora cladonioides;pannarin, unknown/unidentified compound(s), zeorin (hopane-6α,22-diol);lias;Catillariaceae;gbif
Solenopsora crenata;pannarin, unknown/unidentified compound(s), zeorin (hopane-6α,22-diol);lias;Catillariaceae;gbif
Solenopsora cyathiformis;3-dechlorogangaleoidin, atranorin, chloroatranorin, chlorolecideoidin, gangaleoidin, norgangaleoidin (californin);lias;Catillariaceae;gbif
Solenopsora grisea;atranorin;italic;Catillariaceae;gbif
Solenopsora holophaea;atranorin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Catillariaceae;gbif
Solenopsora liparina;pannarin, zeorin;italic;Catillariaceae;gbif
Solenopsora liparina;unknown/unidentified compound(s);lias;Catillariaceae;gbif
Solenopsora tasmanica;brialmontin 1, brialmontin 2;lias;Catillariaceae;gbif
Solenopsora vulturiensis;atranorin;italic;Catillariaceae;gbif
Solenopsora vulturiensis;atranorin, unknown/unidentified compound(s);lias;Catillariaceae;gbif
Solitaria chrysophthalma;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Solorina crocea;solorinic acid;lias;Peltigeraceae;gbif
Sparria cerebriformis;erythrin, lecanoric acid;lias;Opegraphaceae;gbif
Sparria endlicheri;lecanoric acid;italic;Opegraphaceae;gbif
Sphaerophorus fragilis;hypothamnolic acid, sphaerophorin, squamatic acid;lias;Sphaerophoraceae;gbif
Sphaerophorus globosus;hypothamnolic acid, sphaerophorin, squamatic acid, thamnolic acid;lias;Sphaerophoraceae;gbif
Sphaerophorus tuckermanii;hypothamnolic acid, sphaerophorin, squamatic acid, thamnolic acid;lias;Sphaerophoraceae;gbif
Sphaerophorus venerabilis;sphaerophorin, squamatic acid, thamnolic acid;lias;Sphaerophoraceae;gbif
Spheconisca ebena;atranorin, gyrophoric acid, lecanoric acid, usnic acid;lias;Verrucariaceae;gbif
Sporastatia polyspora;5-o-methylhiascic acid, gyrophoric acid;italic;Sporastatiaceae;gbif
Sporastatia polyspora;gyrophoric acid;lias;Sporastatiaceae;gbif
Sporastatia testudinea;5-o-methylhiascic acid, gyrophoric acid, lecanoric acid;italic;Sporastatiaceae;gbif
Sporastatia testudinea;gyrophoric acid;lias;Sporastatiaceae;gbif
Sporodophoron cretaceum;o-methylperlatolic acid;italic;Arthoniaceae;gbif
Sporopodium aeruginascens;4,5-dichloronorlichexanthone, arthothelin, isousnic acid, thiophanic acid, usnic acid;lias;Byssolomataceae;gbif
Sporopodium antonianum;4,5,7-trichloronorlichexanthone (asemone), argopsin, arthothelin, isoarthothelin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium aurantiacum;4,5,7-trichloronorlichexanthone (asemone), arthothelin, isoarthothelin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium awasthianum;unknown/unidentified compound(s), zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium citrinum;4,5-dichloro-6-o-methylnorlichexanthone, 4,5-dichlorolichexanthone (coronatone), 4-chloro-6-o-methylnorlichexanthone, 4-chlorolichexanthone, 5-chlorolichexanthone, griseoxanthone b, vinetorin (5-chloro-3-o-methylnorlichexanthone), zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium isidiatum;2,5-dichlorolichexanthone, 2,7-dichloro-6-o-methylnorlichexanthone, 2-chlorolichexanthone, 7-chloro-6-o-methylnorlichexanthone, pannarin, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium leprieurii;4,5,7-trichloronorlichexanthone (asemone), argopsin, arthothelin, isoarthothelin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium lucidum;unknown/unidentified pigment(s);lias;Byssolomataceae;gbif
Sporopodium marginatum;2,5,7-trichloro-3-o-methylnorlichexanthone, 5,7-dichloro-3-o-methylnorlichexanthone, isoarthothelin;lias;Byssolomataceae;gbif
Sporopodium phyllocharis;2,5,7-trichloro-3-o-methylnorlichexanthone, 5,7-dichloro-3-o-methylnorlichexanthone, pannarin, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium pilocarpoides;atranorin, pannarin, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Sporopodium xantholeucum;2,5,7-trichloro-3-o-methylnorlichexanthone, 2,5,7-trichlorolichexanthone, 2,7-dichlorolichexanthone, 4,5,7-trichloronorlichexanthone (asemone), 5,7-dichloro-3-o-methylnorlichexanthone, 5,7-dichlorolichexanthone, 5,7-dichloronorlichexanthone, arthothelin, isoarthothelin, pannarin, thiophanic acid, zeorin (hopane-6α,22-diol);lias;Byssolomataceae;gbif
Squamarina calesensis;usnic;italic;Stereocaulaceae;gbif
Squamarina cartilaginea;usnic;italic;Stereocaulaceae;gbif
Squamarina cartilaginea;psoromic acid, usnic acid;lias;Stereocaulaceae;gbif
Squamarina clauzadei;usnic;italic;Stereocaulaceae;gbif
Squamarina concrescens;usnic;italic;Stereocaulaceae;gbif
Squamarina confusa;usnic;italic;Stereocaulaceae;gbif
Squamarina gypsacea;usnic;italic;Stereocaulaceae;gbif
Squamarina gypsacea;isousnic acid, psoromic acid, usnic acid;lias;Stereocaulaceae;gbif
Squamarina lamarckii;usnic;italic;Stereocaulaceae;gbif
Squamarina lentigera;usnic;italic;Stereocaulaceae;gbif
Squamarina lentigera;isousnic acid, psoromic acid, usnic acid;lias;Stereocaulaceae;gbif
Squamarina nivalis;usnic;italic;Stereocaulaceae;gbif
Squamarina paradoxa;usnic;italic;Stereocaulaceae;gbif
Squamarina periculosa;usnic;italic;Stereocaulaceae;gbif
Squamarina stella-petraea;usnic;italic;Stereocaulaceae;gbif
Squamarina subcetrarioides;usnic;italic;Stereocaulaceae;gbif
Squamella spumosa;stictic acid;lias;Cladoniaceae;gbif
Squamulea subsoluta;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Stegobolus actinotus;conhypoprotocetraric acid, hypoprotocetraric acid;lias;Graphidaceae;gbif
Stegobolus anamorphus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus auberianus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus austroafricanus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus berkeleyanus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus carneopustulatus;norisonotatic acid, unknown/unidentified pigment(s);lias;Graphidaceae;gbif
Stegobolus croceoporus;unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus emersus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus granulosus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus guianensis;psoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus isidiiferus;psoromic acid;lias;Graphidaceae;gbif
Stegobolus metaphoricus;lichexanthone;lias;Graphidaceae;gbif
Stegobolus montagnei;testacein, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus polillensis;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus pruinatus;protocetraric acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus radians;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus ramificans;psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus reconditus;unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus schizostomus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus subemersus;unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stegobolus tanzanicus;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid;lias;Graphidaceae;gbif
Stegobolus wrightii;2'-o-demethylpsoromic acid, psoromic acid, subpsoromic acid, unknown/unidentified compound(s);lias;Graphidaceae;gbif
Stereocaulon alpinum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon alpinum;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon botryosum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon capitellatum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon condensatum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon condensatum;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon coniophyllum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon cumulatum;atranorin, lobaric acid, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s);lias;Stereocaulaceae;gbif
Stereocaulon dactylophyllum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon dactylophyllum;atranorin, norstictic acid, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon delisei;atranorin, norrangiformic acid, rangiformic acid;lias;Stereocaulaceae;gbif
Stereocaulon evolutum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon evolutum;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon glareosum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon glareosum;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon grande;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon granulans;atranorin, menegazziaic acid, norstictic acid, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon groenlandicum;anziaic acid, atranorin, miriquidic acid, perlatolic acid;italic;Stereocaulaceae;gbif
Stereocaulon incrustatum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon incrustatum;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon klondikense;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon leucophaeopsis;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon nanodes;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon nanodes;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon nivale;atranorin;lias;Stereocaulaceae;gbif
Stereocaulon paschale;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon pileatum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon pileatum;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon plicatile;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon plicatile;atranorin, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon rivulorum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon sasakii;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon saxatile;lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon spathuliferum;atranorin, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon symphycheilum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon symphycheilum;atranorin, lobaric acid;lias;Stereocaulaceae;gbif
Stereocaulon tomentosum;atranorin, stictic acid;italic;Stereocaulaceae;gbif
Stereocaulon tomentosum;atranorin, norstictic acid, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon tornense;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon tornense;atranorin, stictic acid;lias;Stereocaulaceae;gbif
Stereocaulon vesuvianum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon vesuvianum;atranorin;italic;Stereocaulaceae;gbif
Stereocaulon vesuvianum;atranorin, norstictic acid, stictic acid;lias;Stereocaulaceae;gbif
Sticta fragilinata;2-chloroemodin, emodin, fragilin, parietin, unknown/unidentified (tri-)terpenoid(s), (tri-)terpene(s), unknown/unidentified anthraquinone(s);lias;Lobariaceae;gbif
Stirtonia alba;perlatolic acid;lias;;gbif
Stirtonia alboverruca;2'-o-methylsuperphyllinic acid;lias;;gbif
Stirtonia biseptata;conpsoromic acid, psoromic acid;lias;Arthoniaceae;gbif
Stirtonia curvata;perlatolic acid;lias;Arthoniaceae;gbif
Stirtonia indica;conpsoromic acid, psoromic acid;lias;;gbif
Stirtonia macrocarpa;2'-o-methylperlatolic acid;lias;;gbif
Stirtonia neotropica;gyrophoric acid;lias;Arthoniaceae;gbif
Stirtonia psoromica;conpsoromic acid, psoromic acid;lias;Arthoniaceae;gbif
Stirtonia ramosa;2'-o-methylnorsuperphyllinic acid, 4'-o-demethylsuperconfluentic acid;lias;;gbif
Stirtonia schummii;perlatolic acid;lias;Arthoniaceae;gbif
Stirtoniella kelica;calycin, protocetraric acid, pulvinic dilactone, subvirensic acid;lias;Ramalinaceae;gbif
Straminella burgaziae;usnic;italic;Lecanoraceae;gbif
Straminella conizaeoides;usnic;italic;Lecanoraceae;gbif
Straminella densa;usnic;italic;Lecanoraceae;gbif
Straminella printzenii;usnic;italic;Lecanoraceae;gbif
Straminella varia;usnic;italic;Lecanoraceae;gbif
Sulcaria badia;atranorin;lias;Parmeliaceae;gbif
Sulcaria isidiifera;protocetraric acid, unknown/unidentified compound(s), virensic acid;lias;Parmeliaceae;gbif
Sulcopyrenula cruciata;lichexanthone;lias;Pyrenulaceae;gbif
Synarthonia leproidica;psoromic acid;italic;Arthoniaceae;gbif
Synarthonia ochracea;parietin;italic;Arthoniaceae;gbif
Synarthothelium sipmanianum;2'-o-methylmicrophyllinic acid, 2'-o-methylperlatolic acid, confluentic acid;lias;Arthoniaceae;gbif
Syncesia afromontana;protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia albiseda;protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia byssina;protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia decussans;protocetraric acid, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Syncesia depressa;norstictic acid;lias;Roccellaceae;gbif
Syncesia flavescens;unknown/unidentified compound(s);lias;Roccellaceae;gbif
Syncesia hawaiiensis;atranorin, protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia indica;protocetraric acid, roccellic acid, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Syncesia intercedens;atranorin, protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia leprobola;atranorin, gyrophoric acid, protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia madagascariensis;protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia mollis;atranorin, protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia myrticola;atranorin, norstictic acid, protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia psaroleuca;protocetraric acid, roccellic acid;lias;Roccellaceae;gbif
Syncesia rhizomorpha;protocetraric acid, schizopeltic acid;lias;Roccellaceae;gbif
Syncesia subintegra;erythrin, gyrophoric acid, protocetraric acid, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Syncesia sulphurea;atranorin, protocetraric acid, unknown/unidentified compound(s);lias;Roccellaceae;gbif
Szczawinskia leucopoda;norstictic acid;lias;Byssolomataceae;gbif
Tania lanosa;schizopeltic acid;lias;Roccellaceae;gbif
Tasmidella variabilis;arthothelin, thiophanic acid;lias;Ramalinaceae;gbif
Tasmidella variabilis;atranorin, chloroatranorin;lias;Ramalinaceae;gbif
Teloschistes capensis;unknown/unidentified anthraquinone(s);lias;Teloschistaceae;gbif
Teloschistes chrysophthalmos;emodin, fallacinal, parietin, teloschistin;italic;Teloschistaceae;gbif
Teloschistes chrysophthalmus;unknown/unidentified anthraquinone(s);lias;Teloschistaceae;gbif
Teloschistes chrysophthalmus;parietin;lias;Teloschistaceae;gbif
Teloschistes exilis;unknown/unidentified anthraquinone(s);lias;Teloschistaceae;gbif
Teloschistes flavicans;emodin, fallacinal, parietin, parietinic acid, teloschistin;italic;Teloschistaceae;gbif
Teloschistes flavicans;parietin, unknown/unidentified anthraquinone(s);lias;Teloschistaceae;gbif
Tephromela aglaea;atranorin, bourgeanic acid, stictic acid, usnic acid;lias;Tephromelataceae;gbif
Tephromela alectoronica;alectoronic acid, atranorin, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela arafurensis;anziaic acid, atranorin, glomelliferic acid, perlatolic acid;lias;Tephromelataceae;gbif
Tephromela armeniaca;5,7-dihydroxy-6-methylphthalide, alectorialic acid, alectorialin, barbatolic acid, protocetraric acid, roccellic acid;lias;Tephromelataceae;gbif
Tephromela atra;atranorin;italic;Tephromelataceae;gbif
Tephromela atra;atranorin;italic;Tephromelataceae;gbif
Tephromela atra;atranorin;italic;Tephromelataceae;gbif
Tephromela atra;alectoronic acid, atranorin, bourgeanic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela atrocaesia;4-o-methylphysodic acid, alectoronic acid, atranorin, physodic acid, unknown/unidentified compound(s), α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela atroviolacea;4-o-methylphysodic acid, alectoronic acid, atranorin, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela brisbanensis;atranorin;lias;Mycoblastaceae;gbif
Tephromela bullata;4-o-methylphysodic acid, alectoronic acid, atranorin, dehydrocollatolic acid, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela bunyana;4-o-methylphysodic acid, colensoic acid, norcolensoic acid, physodic acid;lias;Tephromelataceae;gbif
Tephromela connivens;atranorin, fumarprotocetraric acid, pannaric acid, pannaric acid 6-methyl ester;lias;Tephromelataceae;gbif
Tephromela disjuncta;alectoronic acid, atranorin, physodic acid;lias;Tephromelataceae;gbif
Tephromela eatoni;atranorin, unknown/unidentified compound(s);lias;Tephromelataceae;gbif
Tephromela erosa;4-o-methylphysodic acid, alectoronic acid, atranorin, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela gigantea;alectoronic acid, atranorin, chloroatranorin, colensoic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela grumosa;atranorin, protolichesterinic acid;italic;Tephromelataceae;gbif
Tephromela grumosa;protolichesterinic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela immersa;2'-o-methylphysodic acid, alectoronic acid, atranorin, physodic acid;lias;Tephromelataceae;gbif
Tephromela isidiosa;atranorin;lias;Tephromelataceae;gbif
Tephromela korundensis;atranorin;lias;Tephromelataceae;gbif
Tephromela lillipillensis;alectoronic acid, atranorin, methyl alectoronate, physodic acid;lias;Tephromelataceae;gbif
Tephromela lirellina;4-o-methylphysodic acid, alectoronic acid, atranorin, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela nashii;alectoronic acid, atranorin, chloroatranorin, physodic acid, psoromic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela neobunyana;4-o-methylphysodic acid, atranorin, colensoic acid, norcolensoic acid, physodic acid;lias;Tephromelataceae;gbif
Tephromela nothofagi;4-o-methylphysodic acid, alectoronic acid, atranorin, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela olivetorica;atranorin, demethylmicrophyllinic acid, olivetoric acid;lias;Tephromelataceae;gbif
Tephromela parasitica;atranorin;lias;Tephromelataceae;gbif
Tephromela pertusarioides;atranorin;italic;Tephromelataceae;gbif
Tephromela pertusarioides;alectoronic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela physodica;2'-o-methylphysodic acid, atranorin, norcolensoic acid, physodic acid;lias;Tephromelataceae;gbif
Tephromela rimosula;atranorin, perlatolic acid;lias;Tephromelataceae;gbif
Tephromela skottsbergii;4-o-methylphysodic acid, alectoronic acid, atranorin, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela sorediata;alectoronic acid, atranorin;lias;Tephromelataceae;gbif
Tephromela stenosporonica;atranorin, colensoic acid, divaronic acid, glomelliferonic acid, loxodellonic acid, stenosporic acid;lias;Tephromelataceae;gbif
Tephromela superba;alectoronic acid, atranorin, physodic acid, α-collatolic acid;lias;Tephromelataceae;gbif
Tephromela talayana;atranorin, norrangiformic acid, rangiformic acid, unknown/unidentified compound(s), usnic acid;lias;Tephromelataceae;gbif
Tephromela territoriensis;atranorin, physodic acid;lias;Tephromelataceae;gbif
Tetramelas chloroleucus;atranorin;italic;Caliciaceae;gbif
Tetramelas confusus;6-o-methylarthothelin, atranorin;lias;Caliciaceae;gbif
Tetramelas insignis;atranorin, gyrophoric acid;italic;Caliciaceae;gbif
