species;substances;substancess_reference;family;family_reference
Arctoparmelia centrifuga;alectoronic acid, atranorin, chloroatranorin, usnic acid, α-collatolic acid;lias;Parmeliaceae;gbif
Arctoparmelia incurva;atranorin, usnic;italic;Parmeliaceae;gbif
Arctoparmelia incurva;alectoronic acid, atranorin, chloroatranorin, protocetraric acid, usnic acid, α-collatolic acid;lias;Parmeliaceae;gbif
Arctoparmelia separata;alectoronic acid, atranorin, chloroatranorin, usnic acid, α-collatolic acid;lias;Parmeliaceae;gbif
Arctoparmelia subcentrifuga;alectoronic acid, atranorin, chloroatranorin, usnic acid, α-collatolic acid;lias;Parmeliaceae;gbif
Arthonia anglica;gyrophoric acid;lias;Arthoniaceae;gbif
Arthonia anombrophila;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia astroidestera;lichexanthone;lias;Arthoniaceae;gbif
Arthonia atlantica;atranorin, confluentic acid, stictic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia cinereopruinosa;psoromic acid;lias;Arthoniaceae;gbif
Arthonia cinnabarina;unknown/unidentified anthraquinone(s);lias;Arthoniaceae;gbif
Arthonia cyanea;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia cyanea;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia cyanea;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia didyma;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Arthonia endlicheri;lecanoric acid;lias;Opegraphaceae;gbif
Arthonia excipiens;hypoconstictic acid, hyposalazinic acid, hypostictic acid;lias;Arthoniaceae;gbif
Arthonia flavoverrucosa;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Arthonia gerhardii;confluentic acid, psoromic acid;lias;Arthoniaceae;gbif
Arthonia glaucofusca;atranorin, chloroatranorin, constipatic acid, protoconstipatic acid;lias;Arthoniaceae;gbif
Arthonia isidiata;unknown/unidentified pigment(s);lias;Arthoniaceae;gbif
Arthonia madreana;confluentic acid;lias;Arthoniaceae;gbif
Arthonia mira;unknown/unidentified anthraquinone(s);lias;Arthoniaceae;gbif
Arthonia nigrum;consalazinic acid, norlobaridone, protocetraric acid, salazinic acid, usnic acid;lias;Arthoniaceae;gbif
Arthonia pruinata;arthoniaic acid;lias;Arthoniaceae;gbif
Arthonia seifrigii;constictic acid, isousnic acid, stictic acid;lias;Arthoniaceae;gbif
Arthonia stellaris;unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthonia turgida;constictic acid, cryptostictic acid, norstictic acid, stictic acid, usnic acid;lias;Arthoniaceae;gbif
Arthonia verrucosa;psoromic acid;lias;Arthoniaceae;gbif
Arthonia vinosa;unknown/unidentified anthraquinone(s);lias;Arthoniaceae;gbif
Arthonia zwackhii;norstictic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthopyrenia koerberi;capistraton, congyrophoric acid, consalazinic acid, gyrophoric acid, salazinic acid, usnic acid;lias;Arthopyreniaceae;gbif
Arthopyrenia punctulata;protocetraric acid, usnic acid;lias;Arthopyreniaceae;gbif
Arthothelium desertorum;divaricatic acid;lias;Arthoniaceae;gbif
Arthothelium feuereri;gyrophoric acid;lias;Arthoniaceae;gbif
Arthothelium saxicola;barbatic acid, unknown/unidentified compound(s);lias;Arthoniaceae;gbif
Arthrorhaphis alpina;epanorin, rhizocarpic acid;italic;Arthrorhaphidaceae;gbif
Arthrorhaphis alpina;epanorin, rhizocarpic acid;lias;Arthrorhaphidaceae;gbif
Arthrorhaphis citrinella;epanorin, rhizocarpic acid;italic;Arthrorhaphidaceae;gbif
Arthrorhaphis citrinella;epanorin, rhizocarpic acid;lias;Arthrorhaphidaceae;gbif
Arthrorhaphis citrinella;rhizocarpic acid;lias;Arthrorhaphidaceae;gbif
Arthrorhaphis vacillans;atranorin, epanorin, rhizocarpic acid;italic;Arthrorhaphidaceae;gbif
Arthrorhaphis vacillans;epanorin, rhizocarpic acid;lias;Arthrorhaphidaceae;gbif
Arthrorhaphis vulgaris;epanorin, rhizocarpic acid;italic;Arthrorhaphidaceae;gbif
Asahinea chrysantha;alectoronic acid, atranorin, usnic acid;lias;Parmeliaceae;gbif
Aspicilia anglica;substictic acid;lias;Megasporaceae;gbif
Aspicilia arizonica;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia aurantiaca;hyposalazinic acid, hypostictic acid, norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia berntii;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia boykinii;hyposalazinic acid, norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia bricconensis;norstictic acid;italic;Megasporaceae;gbif
Aspicilia brucei;connorstictic acid, hyposalazinic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia caesiocinerea;aspicilin;lias;Megasporaceae;gbif
Aspicilia californica;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia candida;substictic acid;italic;Megasporaceae;gbif
Aspicilia cinerea;norstictic acid;italic;Megasporaceae;gbif
Aspicilia cinerea;norstictic acid, stictic acid;lias;Megasporaceae;gbif
Aspicilia contorta;aspicilin;lias;Megasporaceae;gbif
Aspicilia contorta;aspicilin;lias;Megasporaceae;gbif
Aspicilia contorta;aspicilin;lias;Megasporaceae;gbif
Aspicilia cuprea;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
Aspicilia desertorum;aspicilin;lias;Megasporaceae;gbif
Aspicilia epiglypta;norstictic acid;lias;Megasporaceae;gbif
Aspicilia fimbriata;norstictic acid;italic;Hymeneliaceae;gbif
Aspicilia flavoreagens;stictic acid;italic;Megasporaceae;gbif
Aspicilia fluviatilis;norstictic acid;italic;Megasporaceae;gbif
Aspicilia fluviatilis;norstictic acid;lias;Megasporaceae;gbif
Aspicilia granulosa;connorstictic acid, norstictic acid;lias;Megasporaceae;gbif
