name,A,B,Bprime,C,E,F,G,HPLC,BefVis,BefUVS,BefUVL,Archers,AftVis,AftUV,M,F1,F2,F3,KResult,CResult,KCResult,PDResult,Cortex,Medulla,Notes,Related,Reference,Lichens,Synonyms,Path,GroupName,Class,GLossID
Notatic acid,34,49,44,38,x,x,55,19,−,+,?,x,P.Yellow,Purple,344,326,300,298,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. LW UV: violet, purple halo, fades to deep blue. Occurs inXanthoparmelia notata","4-O-Demethylnotatic acid, Hypoprotocetraric acid, Isonotatic acid, 4-O-Methylhypoprotocetraric acid, Subnotatic acid","Cresp, TM Elix, JA Kurokawa, S Sargent, MV 1972: The structure of two new depsidones fromthe lichen Parmelia notata. Australian Journal of Chemistry 25: 2167-2184.",,,acetyl-polymalonyl pathway,depsidones,orcinol β-orcinol depsidones,
Obtusatic acid,40,64,61,47,x,x,x,32,−,+,?,x,Grey,Green,346,196,179,178,No Result,No Result,P.Yellow,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Ramalina obtusata","Barbatic acid, 4-O-Demethylbarbatic acid, 2-O-Methylobtusatic acid,Norobtusatic acid","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 124. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 290.",,,acetyl-polymalonyl pathway,depsides,orcinol β-orcinol depsides,
Olivaceic acid,3,x,14,3,x,x,x,12,−,+,?,x,Brown,Blue,x,x,x,x,No Result,No Result,No Result,No Result,?,?,Occurs in Myriotrema olivaceum,"Isonotatic acid, Norisonotatic acid","Mangold, A 2008. Taxonomic studies on members of thelotremoid Ostropales (lichenizedAscomycota) in Australia. Univ. Duisburg-Essen, p28.",,,acetyl-polymalonyl pathway,depsidones,depsidones,
Olivetoric acid,29,37,39,25,x,x,x,27,−,+,?,x,Orange,B.Blue,-1,266,248,224,No Result,Pink,D.Red,No Result,?,?,"Acid Spray: pale orange, grey halo. SW UV flouresces bright blue before spraying. Occurs in Cetreliaolivetorum","Olivetoric acidA: 29   B: 37      B´: 39        C: 25         E: x        F: x      G: xHPLC: 27V: −                           UV: +Acid Spray: Orange                                LW UV: B.BlueArchers: xK: No Result         C: Pink             KC: D.Red         PD: No ResultMass Spectrum: -1, 266, 248, 224Substance Class: Orcinol DepsidesBiosynthetically    Related     Compounds:       Anziaic     acid,   4-O-Demethylmicrophyllinic   acid,   4-O-Methylhyperolivetoric acid, 4-O-Methylolivetoric acid, Microphyllinic acid, 4-O-Methylsuperolivetoric acid","Culberson, CF 1969: Chemical and botanical guide to lichen products. Univ. North Carolina Press,Chapel Hill: 125. Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 290.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
Olivetol [3-Hydroxy-5-pentylphenol],65,70,x,53,x,x,x,6,−,+,?,x,Yellow,Green,180,165,151,138,No Result,Red,No Result,No Result,?,?,"Possibly an artefact, reported from Cladonia macaronesica","2,4-Dihydroxy-6-pentylbenzoic acid, Perlatolic acid","Gonzáles, AG Barrera, JB Rodrigues Pérez, EM Hernández Padrón, CE 1991: Chemicalconstituents of the lichen Cladina macronesica. Zeitschrift für Naturforschung 46c: 12-18.",,3-Hydroxy-5-pentylphenol,shikimic acid pathway,monocyclic aromatic derivatives & compounds,monocyclic aromatic derivatives,
Olivetol methyl ether [3-Methoxy-5-pentylphenol],65,70,x,53,x,x,x,6,−,+,?,x,Yellow,Green,180,165,151,138,No Result,Red,No Result,No Result,?,?,"Possibly an artefact, reported from Cladonia macaronesica","2,4-Dihydroxy-6-pentylbenzoic acid, Perlatolic acid","Gonzáles, AG Barrera, JB Rodrigues Pérez, EM Hernández Padrón, CE 1991: Chemicalconstituents of the lichen Cladina macronesica. Zeitschrift für Naturforschung 46c: 12-18.",,3-Methoxy-5-pentylphenol,shikimic acid pathway,monocyclic aromatic derivatives & compounds,monocyclic aromatic derivatives,
Orcinol [3-Hydroxy-5-methylphenol],42,37,x,17,x,x,x,6,−,+,?,x,Yellow,Green,x,x,x,x,No Result,Red,No Result,No Result,?,?,Reported from Evernia prunastri but possibly an artefact.,"Lecanoric acid, Gyrophoric Acid","Gavin, J Tabacchi, R 1975: Isolement et identification de composes phénoliques et monotérpeniquesde la mousse de chêne (Evernia prunastri (L.) Ach.). Heletica Chimica Acta 58: 190-194.",,3-Hydroxy-5-methylphenol,shikimic acid pathway,monocyclic aromatic derivatives & compounds,monocyclic aromatic derivatives,
Orcinyl lecanorate [Decarboxygyrophoric acid],30,37,38,20,11,x,x,20,−,+,?,x,P.Yellow,Green,-1,275,274,152,No Result,Red,Red,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Punctelia borreri","Gyrophoric acid, Lecanoric acid, Orsellinic acid","Chester, DO Elix, JA 1981: New metabolites from Australian lichens. Australian Journal ofChemistry 34: 1507-1511.",,Decarboxygyrophoric acid,,depsides,orcinol tridepsides,
Orsellinic acid,37,x,49,22,x,x,x,0,−,+,?,x,Yellow,Green,168,150,124,122,No Result,Red,Red,No Result,?,?,"Acid Spray yellow-orange, grey halo. Occurs in Pseudocyphellaria crocata","Gyrophoric acid, Lecanoric acid, Methyl gyrophorate, Methyl lecanorate","Huneck, S Yoshimura, I 1996: Identification of Lichen Substances. Springer-Verlag, Berlin,Heidelberg, New York: 163.",,,shikimic acid pathway,monocyclic aromatic derivatives & compounds,monocyclic aromatic derivatives,
Ovoic acid,25,x,34,23,11,x,x,23,−,+,?,x,P.Yellow,Green,-1,182,165,151,No Result,P.Red,Red,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Melanelia substygia","Gyrophoric acid, Lecanoric acid, Orsellinic acid","Huneck, S Schrieber, K Sundholm, G 1980: Ovosäure, ein neues Tridepsid aus der FlechteParmelia substygia. Phytochemistry 19: 885-887.",,,,depsides,orcinol tridepsides,
Oxodidymic acid,60,x,55,48,x,x,x,37,−,+,?,x,Blue,Purple,384,366,340,x,No Result,Green,No Result,No Result,?,?,Occurs in Letrouitia vulpina,"8-Chlorodioxocondidymic acid, 8-Chlorodioxodidymic acid, 8-Chlorooxodidymic acid, Dioxocondidymic acid, Dioxodidymic acid, Letrouitic acid,","Johansson, SSøchting, UElix, JA Wardlaw, JH 2005: Chemical variation in the lichen genusLetrouitia (Ascomycota, Letrouitiaceae). Mycological Progress 4: 139-148.",,,acetyl-polymalonyl pathway,furans & furanones,dibenzofurans,
Oxolobaric acid,19,x,23,23,x,x,x,36,−,+,?,x,Grey,B.Blue,470,453,452,428,No Result,No Result,D.Red,No Result,?,?,Minor component in Lobaria hypoleucoides,"Lobaric acid, Sublobaric acid, Norlobaridone","Elix, JA Wardlaw, JHYoshimura, I 1997: Sublobaric acid and oxolobaric acid, two new depsidonesfrom the lichen Lobaria hypoleucoides. Australian Journal of Chemistry 50: 763-765.",,,acetyl-polymalonyl pathway,depsidones,orcinol depsidones,
Oxostenosporic acid,41,43,46,41,x,x,x,28,−,+,?,P.Red,P.Yellow,B.Blue,-1,262,238,220,No Result,No Result,No Result,No Result,?,?,"Acid Spray: pale yellow, grey halo. Occurs in Xanthoparmelia pulla.","4-O-Demethylstenosporic acid, Divaricatic acid, Glomelliferic acid,Perlatolic acid, Stenosporic acid","Culberson, CK Culberson, WL Esslinger, TL 1977: Chemosyndromic variation in the Parmeliapulla group. Bryologist 80: 125-135.",,,acetyl-polymalonyl pathway,depsides,orcinol depsides,
